runIndex,modelType,numDays,policyK,policyE,arrivalScenarioName,serviceScenarioName,taxiTakeoffScenarioName,costScenarioName,annualNumberOfStorms,totalExternalArrivals,totalDeicingJobs,totalHOTViolations,meanExternalArrivalsPerDay,stdExternalArrivalsPerDay,p95ExternalArrivalsPerDay,maxExternalArrivalsPerDay,meanDeicingJobsPerDay,stdDeicingJobsPerDay,p95DeicingJobsPerDay,maxDeicingJobsPerDay,meanHOTViolationsPerDay,p95HOTViolationsPerDay,maxHOTViolationsPerDay,numDaysWithHOTViolations,meanDeicingJobsPerExternalAircraft,hotViolationRatePerExternalAircraft,hotViolationRatePerDeicingJob,totalDeicingQueueingDelay,totalDeicingServiceTime,meanDeicingQueueingDelayAcrossDays,stdMeanDeicingQueueingDelayAcrossDays,p95MeanDeicingQueueingDelayAcrossDays,meanDeicingServiceTimeAcrossDays,stdMeanDeicingServiceTimeAcrossDays,p95MeanDeicingServiceTimeAcrossDays,meanDailyP95DeicingQueueingDelay,p95DailyP95DeicingQueueingDelay,meanDailyP95DeicingServiceTime,p95DailyP95DeicingServiceTime,totalTaxiTakeoffQueueingDelay,totalTaxiTakeoffServiceTime,totalTaxiTakeoffSojournTime,meanTaxiTakeoffQueueingDelayAcrossDays,stdMeanTaxiTakeoffQueueingDelayAcrossDays,meanTaxiTakeoffServiceTimeAcrossDays,meanTaxiTakeoffSojournTimeAcrossDays,stdMeanTaxiTakeoffSojournTimeAcrossDays,p95MeanTaxiTakeoffSojournTimeAcrossDays,meanDailyP95TaxiTakeoffSojournTime,p95DailyP95TaxiTakeoffSojournTime,totalGroundSojournTime,meanGroundSojournTimeAcrossDays,stdMeanGroundSojournTimeAcrossDays,p95MeanGroundSojournTimeAcrossDays,p99MeanGroundSojournTimeAcrossDays,meanDailyP95GroundSojournTime,p95DailyP95GroundSojournTime,meanDailyP99GroundSojournTime,maxDailyMaxGroundSojournTime,totalDepartureDelay,totalPositiveDepartureDelay,meanPositiveDepartureDelayAcrossDays,stdMeanPositiveDepartureDelayAcrossDays,p90MeanPositiveDepartureDelayAcrossDays,p95MeanPositiveDepartureDelayAcrossDays,p99MeanPositiveDepartureDelayAcrossDays,maxMeanPositiveDepartureDelayAcrossDays,meanDailyP90PositiveDepartureDelay,meanDailyP95PositiveDepartureDelay,p95DailyP95PositiveDepartureDelay,meanDailyP99PositiveDepartureDelay,maxDailyMaxPositiveDepartureDelay,totalDelayAboveD1,totalDelayAboveD2,totalDelayAboveD3,totalDelayCost,totalFluidCost,totalActivationCost,totalOperatingCost,meanDailyOperatingCost,stdDailyOperatingCost,minDailyOperatingCost,p90DailyOperatingCost,p95DailyOperatingCost,p99DailyOperatingCost,maxDailyOperatingCost,numPositiveCostDays,numMissingOperatingCostDays,numMissingVolumeDays,numIncompleteDESDays,numNonemptyTerminalCalendars
1,DES,1,6,1,debugVeryLightNoPeak,baseline,debugStableTaxi,debugBaselineCost,1,739,739,0,739,0,739,739,739,0,739,739,0,0,0,0,1,0,0,0,0.386796634386954,0,0,0,0.000523405459251629,0,0.000523405459251629,0,0,0.00172015764948749,0.00172015764948749,109.149152823923,601.851694413422,711.000847237345,0.147698447664307,0,0.814413659558082,0.962112107222388,0,0.962112107222388,2.47205746259757,2.47205746259757,711.387643871732,0.96263551268164,0,0.96263551268164,0.96263551268164,2.47267205557962,2.47267205557962,3.27557251255648,4.61931063642817,-22657.1123561283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03123612084234,1,2.03123612084234,2.03123612084234,0,2.03123612084234,2.03123612084234,2.03123612084234,2.03123612084234,2.03123612084234,1,0,0,0,0
1,analyticModel,1,6,1,debugVeryLightNoPeak,baseline,debugStableTaxi,debugBaselineCost,1,758.889939065532,758.889939065532,0,758.889939065532,0,758.889939065532,758.889939065532,758.889939065532,0,758.889939065532,758.889939065532,0,0,0,0,1,0,0,4.16493640143176e-13,0.379444969532766,5.48819556965045e-16,0,5.48819556965045e-16,0.0005,0,0.0005,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.960242514168582,0,0.960242514168582,NaN,NaN,0,0.960742514168582,0,0.960742514168582,0.960742514168582,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.01163589252603,1,2.01163589252603,2.01163589252603,0,2.01163589252603,2.01163589252603,2.01163589252603,2.01163589252603,2.01163589252603,1,0,0,0,0
2,DES,2,6,1,debugVeryLightNoPeak,baseline,debugStableTaxi,debugBaselineCost,2,656,656,0,328,206.475180106472,474,474,328,206.475180106472,474,474,0,0,0,0,1,0,0,0,0.346394642083131,0,0,0,0.000530598137329421,8.12560620653662e-06,0.000536343808579315,0,0,0.00185007763859917,0.00190854347382685,53.5722988242427,503.904379429883,557.476678254126,0.0738264384125994,0.024904471437806,0.750507736858724,0.824334175271323,0.0809465780222083,0.881572049504672,1.99888762801115,2.12609097864685,557.82307289621,0.824864773408653,0.0809384524160022,0.882096901970753,0.882096901970753,1.99931644083116,2.1264790090089,2.95056246912426,4.00119636763259,-19525.6769271038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402516854355113,2,2.40251685435511,1.20125842717756,0.251193389026895,1.02363787840741,1.3788789759477,1.3788789759477,1.3788789759477,1.3788789759477,2,0,0,0,0
2,analyticModel,2,6,1,debugVeryLightNoPeak,baseline,debugStableTaxi,debugBaselineCost,2,663.779878131065,663.779878131065,0,331.889939065532,216.374675043084,484.889939065532,484.889939065532,331.889939065532,216.374675043084,484.889939065532,484.889939065532,0,0,0,0,1,0,0,3.66762425732522e-13,0.331889939065532,5.54318838466484e-16,5.46859428109301e-18,5.58185718566202e-16,0.0005,0,0.0005,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.960701637303183,0.000456561124854453,0.961024474770593,NaN,NaN,0,0.961201637303183,0.000456561124854531,0.961524474770594,0.961524474770594,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.39089051862254,2,2.39089051862254,1.19544525931127,0.245770084079243,1.02165956624605,1.36923095237649,1.36923095237649,1.36923095237649,1.36923095237649,2,0,0,0,0
3,DES,1,6,1,debugLightBroadPeak,baseline,debugStableTaxi,debugBaselineCost,1,149,149,0,149,0,149,149,149,0,149,149,0,0,0,0,1,0,0,0,0.0664135361064532,0,0,0,0.000445728430244652,0,0.000445728430244652,0,0,0.00126912552136611,0.00126912552136611,3.94345710428472,127.123352651108,131.066809755392,0.0264661550623135,0,0.853176863430252,0.879643018492565,0,0.879643018492565,2.12212716218284,2.12212716218284,131.133223291499,0.880088746922812,0,0.880088746922812,0.880088746922812,2.12244284630186,2.12244284630186,3.43439755160582,5.14639117411249,-4523.3667767085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071370554647738,1,1.07137055464774,1.07137055464774,0,1.07137055464774,1.07137055464774,1.07137055464774,1.07137055464774,1.07137055464774,1,0,0,0,0
3,analyticModel,1,6,1,debugLightBroadPeak,baseline,debugStableTaxi,debugBaselineCost,1,136.111930894336,136.111930894336,0,136.111930894336,0,136.111930894336,136.111930894336,136.111930894336,0,136.111930894336,136.111930894336,0,0,0,0,1,0,0,6.29986873807744e-15,0.0680559654471679,4.62844711457959e-17,0,4.62844711457959e-17,0.0005,0,0.0005,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.860106736182731,0,0.860106736182731,NaN,NaN,0,0.860606736182731,0,0.860606736182731,0.860606736182731,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.0731355727432756,1,1.07313557274328,1.07313557274328,0,1.07313557274328,1.07313557274328,1.07313557274328,1.07313557274328,1.07313557274328,1,0,0,0,0
4,DES,2,6,1,debugLightBroadPeak,baseline,debugStableTaxi,debugBaselineCost,2,549,549,0,274.5,219.910208949016,430,430,274.5,219.910208949016,430,430,0,0,0,0,1,0,0,0,0.289785846821404,0,0,0,0.000527626731410628,5.40089873666897e-07,0.000528008632622748,0,0,0.00169902497095531,0.00172759540409397,10.0599741596323,450.918591808696,460.978565968328,0.0188974592794188,0.0014311795085491,0.83432008373795,0.853217543017368,0.0338222822112442,0.877133508124144,2.08088352985147,2.08575886842293,461.268351815148,0.853745169748777,0.033821742121371,0.877660752954341,0.877660752954341,2.0813824335041,2.08615682872521,2.86024097793435,3.44168378234758,-16892.2316481849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12334370750829,2,3.12334370750829,1.56167185375414,0.72393465715886,1.04977274854115,2.07357095896713,2.07357095896713,2.07357095896713,2.07357095896713,2,0,0,0,0
4,analyticModel,2,6,1,debugLightBroadPeak,baseline,debugStableTaxi,debugBaselineCost,2,556.423861788671,556.423861788671,0,278.211930894336,233.628080504035,443.411930894335,443.411930894335,278.211930894336,233.628080504035,443.411930894335,443.411930894335,0,0,0,0,1,0,0,2.13240032101244e-14,0.278211930894336,4.24763571701952e-17,9.8911717985483e-18,4.94704718228299e-17,0.0005,0,0.0005,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.859103435077671,0.00260596811424061,0.860946132802807,NaN,NaN,0,0.859603435077671,0.00260596811424061,0.861446132802807,0.861446132802807,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.09315720103748,2,3.09315720103748,1.54657860051874,0.709585822292683,1.04482565374175,2.04833154729573,2.04833154729573,2.04833154729573,2.04833154729573,2,0,0,0,0
5,DES,1,6,2,debugVeryLightNoPeak,upgraded,debugStableTaxi,debugBaselineCost,1,286,286,0,286,0,286,286,286,0,286,286,0,0,0,0,1,0,0,0,0.0965362139345454,0,0,0,0.000337539209561347,0,0.000337539209561347,0,0,0.00107130846052227,0.00107130846052227,47.3925883730026,231.99681572772,279.389404100722,0.165708350954554,0,0.81117767736965,0.976886028324204,0,0.976886028324204,2.39870397480471,2.39870397480471,279.485940314657,0.977223567533765,0,0.977223567533765,0.977223567533765,2.39914903360124,2.39914903360124,3.54593114709268,4.2779738763229,-8756.51405968534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683386270225562,1,1.06833862702256,1.06833862702256,0,1.06833862702256,1.06833862702256,1.06833862702256,1.06833862702256,1.06833862702256,1,0,0,0,0
5,analyticModel,1,6,2,debugVeryLightNoPeak,upgraded,debugStableTaxi,debugBaselineCost,1,288.889939065532,288.889939065532,0,288.889939065532,0,288.889939065532,288.889939065532,288.889939065532,0,288.889939065532,288.889939065532,0,0,0,0,1,0,0,3.50735685653164e-14,0.0962966463551774,1.21408065226391e-16,0,1.21408065226391e-16,0.000333333333333333,0,0.000333333333333333,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0.960634446921296,0,0.960634446921296,NaN,NaN,0,0.960967780254629,0,0.960967780254629,0.960967780254629,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.0681690355419517,1,1.06816903554195,1.06816903554195,0,1.06816903554195,1.06816903554195,1.06816903554195,1.06816903554195,1.06816903554195,1,0,0,0,0
